X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401498.969999999,138734.57,25424035,2025/09/17 12:02:31+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF NEW YORK AVENUE NE,401498.97,138734.57,5,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.9164774036,-76.9827155922,,2025/09/16 17:47:00+00,2025/09/16 17:47:00+00,809888585,
404939.930500001,135095.9098,25423992,2025/09/13 12:31:37+00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF BURBANK STREET SE,404939.930530537,135095.9098188,7,7F,6.0,603.0,Cluster 33,007703 1,7703.0,Precinct 103,38.8836864504,-76.9430645451,,2025/09/10 16:00:00+00,2025/09/10 16:30:00+00,809889145,
394207.869999997,143451.620000001,25134428,2025/09/03 10:37:30+00,MIDNIGHT,OTHERS,THEFT F/AUTO,5302 - 5329 BLOCK OF NEVADA AVENUE NW,394207.87,143451.62,3,3F,2.0,201.0,Cluster 10,001402 2,1402.0,Precinct 138,38.9589521638,-77.0668280257,,2025/09/02 21:15:00+00,2025/09/03 09:15:00+00,809889158,
396934.859999999,139582.98,25143325,2025/09/19 16:36:28+00,DAY,OTHERS,THEFT/OTHER,2600 - 2798 BLOCK OF 15TH STREET NW,396934.86,139582.98,1,1A,3.0,304.0,Cluster 2,003702 1,3702.0,Precinct 36,38.9241160894,-77.0353474758,,2025/09/18 15:01:00+00,2025/09/19 13:20:00+00,809889276,
402570.932300001,136534.524599999,25140138,2025/09/13 18:26:35+00,DAY,OTHERS,SEX ABUSE,500 - 599 BLOCK OF OKLAHOMA AVENUE NE,402570.932320339,136534.524572135,7,7D,5.0,507.0,Cluster 25,006804 1,6804.0,Precinct 80,38.8966561482,-76.9703631852,,2025/09/13 11:00:00+00,2025/09/13 13:00:00+00,809889459,
399822.640000001,134056.460000001,25145893,2025/09/24 06:10:37+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1300 - 1399 BLOCK OF 3RD STREET SE,399822.64,134056.46,8,8F,1.0,106.0,Cluster 27,007201 2,7201.0,Precinct 131,38.8743365387,-77.002043905,CAPITOL RIVERFRONT,2025/09/24 03:58:00+00,2025/09/24 06:01:00+00,809889460,
399058.07,137651.34,25147094,2025/09/26 13:51:02+00,DAY,OTHERS,ROBBERY,22 - 99 BLOCK OF NEW YORK AVENUE NW,399058.07,137651.34,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19,38.9067200736,-77.0108597737,,2025/09/26 03:00:00+00,2025/09/26 13:51:00+00,809889461,
399215.0,138016.219999999,25143257,2025/09/19 13:57:10+00,DAY,OTHERS,THEFT/OTHER,1500 - 1522 BLOCK OF NORTH CAPITOL STREET,399215.0,138016.22,5,5F,5.0,501.0,Cluster 21,010601 1,10601.0,Precinct 75,38.9100071926,-77.0090509011,NOMA,2025/09/19 13:39:00+00,,809889574,
399497.079999998,144380.440000001,25145798,2025/09/24 01:17:48+00,EVENING,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF TUCKERMAN STREET NE,399497.08,144380.44,4,4B,4.0,406.0,Cluster 19,009505 2,9505.0,Precinct 64,38.9673381617,-77.0058032369,,2025/09/22 23:00:00+00,2025/09/23 20:30:00+00,809889575,
396231.979999997,139315.649999999,25424059,2025/09/18 11:02:07+00,DAY,OTHERS,THEFT/OTHER,1811 - 1852 BLOCK OF COLUMBIA ROAD NW,396231.98,139315.65,1,1C,3.0,303.0,Cluster 1,004001 1,4001.0,Precinct 25,38.9217051624,-77.043451684,ADAMS MORGAN,2025/09/15 16:40:00+00,2025/09/16 13:00:00+00,809889700,
396231.979999997,139315.649999999,25424053,2025/09/17 23:31:53+00,EVENING,OTHERS,THEFT/OTHER,1811 - 1852 BLOCK OF COLUMBIA ROAD NW,396231.98,139315.65,1,1C,3.0,303.0,Cluster 1,004001 1,4001.0,Precinct 25,38.9217051624,-77.043451684,ADAMS MORGAN,2025/08/01 22:25:00+00,2025/09/17 22:25:00+00,809889869,
399283.030000001,129409.949999999,25139980,2025/09/13 05:06:34+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,3846 - 3999 BLOCK OF SOUTH CAPITOL STREET,399283.03,129409.95,8,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124,38.8324785022,-77.0082575523,,2025/09/13 04:13:00+00,2025/09/13 05:07:00+00,809890161,
398774.850000001,138427.77,25148263,2025/09/28 16:53:58+00,DAY,OTHERS,THEFT/OTHER,1706 - 1799 BLOCK OF 2ND STREET NW,398774.85,138427.77,5,5E,3.0,308.0,Cluster 21,003400 3,3400.0,Precinct 19,38.9137140712,-77.0141264813,,2025/09/28 11:20:00+00,2025/09/28 11:30:00+00,809890162,
397241.549999997,140302.66,25138267,2025/09/10 11:11:04+00,DAY,OTHERS,THEFT/OTHER,1326 - 1399 BLOCK OF PARK ROAD NW,397241.55,140302.66,1,1A,3.0,302.0,Cluster 2,002900 2,2900.0,Precinct 41,38.9306002081,-77.0318135912,,2025/09/10 10:41:00+00,2025/09/10 11:11:00+00,809890234,
401257.016400002,135070.543499999,25137634,2025/09/09 03:04:44+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF 14TH STREET SE,401257.01641512,135070.543546776,6,6B,1.0,107.0,Cluster 26,006900 2,6900.0,Precinct 91,38.88347092,-76.9855122293,,2025/09/09 01:40:00+00,2025/09/09 02:38:00+00,809890256,
399823.017899998,134352.6195,25140584,2025/09/14 09:21:36+00,MIDNIGHT,KNIFE,ROBBERY,1100 - 1199 BLOCK OF 3RD STREET SE,399823.017885789,134352.61948211,8,8F,1.0,106.0,Cluster 27,007203 1,7203.0,Precinct 131,38.8770044609,-77.0020396264,CAPITOL RIVERFRONT,2025/09/14 07:52:00+00,2025/09/14 09:00:00+00,809890257,
401740.25,137077.199999999,25142160,2025/09/17 11:55:20+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,401740.25,137077.2,5,5D,5.0,507.0,Cluster 23,008904 1,8904.0,Precinct 79,38.9015468006,-76.9799376272,,2025/09/17 04:00:00+00,,809890378,
399622.270000003,134352.620000001,25145201,2025/09/23 00:36:42+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622.27,134352.62,8,8F,1.0,106.0,Cluster 27,007203 1,7203.0,Precinct 131,38.8770044023,-77.004353141,CAPITOL RIVERFRONT,2025/09/22 23:30:00+00,2025/09/23 00:01:00+00,809890411,
401871.460000001,141108.329999998,25137877,2025/09/09 17:45:27+00,DAY,OTHERS,THEFT F/AUTO,19TH STREET NE AND SOUTH DAKOTA AVENUE NE,401871.45999969,141108.33001638,5,5B,5.0,504.0,Cluster 24,009400 4,9400.0,Precinct 69,38.9378602633,-76.9784139914,,2025/09/09 15:30:00+00,2025/09/09 15:45:00+00,809890416,
398186.039999999,137185.329999998,25140658,2025/09/14 14:47:10+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF K STREET NW,398186.04,137185.33,6,6E,1.0,101.0,Cluster 8,004703 2,4703.0,Precinct 18,38.902520725,-77.0209124198,MOUNT VERNON TRIANGLE CID,2025/09/14 14:20:00+00,2025/09/14 14:47:00+00,809890417,
399489.420000002,137252.09,25147301,2025/09/26 20:25:44+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF 1ST STREET NE,399489.42,137252.09,6,6E,5.0,501.0,Cluster 25,010603 3,10603.0,Precinct 144,38.9031238461,-77.0058863225,NOMA,2025/09/26 18:54:00+00,2025/09/26 20:20:00+00,809890418,
399622.270000003,134352.620000001,25141675,2025/09/16 13:11:36+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622.27,134352.62,8,8F,1.0,106.0,Cluster 27,007203 1,7203.0,Precinct 131,38.8770044023,-77.004353141,CAPITOL RIVERFRONT,2025/09/16 12:35:00+00,2025/09/16 13:00:00+00,809890870,
